FDHI ID,Earthquake,Date,Magnitude,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Slip at gate (m),Normalized slip at gate,UTM zone,Cumulative displacement
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,28.5597807988917,0,angle,919.999996877458,199115.277475184,0.00462043901675058,159516.764576228,3.838833,0.2399270625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.66486037850475,0,angle,3529.99998956566,199115.277475184,0.017728423626387,156972.220663703,5.416872,0.3385545,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.75770602013699,0,angle,7669.99997016532,199115.277475184,0.0385203991749013,153077.215325648,6.7,0.41875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,9.37951553986754,0,angle,12099.9999414488,199115.277475184,0.0607688174151117,148934.593508532,10.603615,0.6627259375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,9.49491795593055,0,angle,15129.9999185662,199115.277475184,0.0759861328091808,146027.408927373,8.731105,0.5456940625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,8.86880357577128,0,angle,17419.9998938991,199115.277475184,0.0874870081029828,143849.775397656,9.834822,0.614676375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,1499.31354229454,10.5159628018635,151.66986306654,angle,20709.9998516237,199115.277475184,0.104010099647953,140685.420070972,10.806631,0.6754144375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,3.74221414502746,0,angle,25749.9997900393,199115.277475184,0.12932206969025,135926.195772285,13.755892,0.85974325,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,23.7336564651229,0,angle,30579.9997452646,199115.277475184,0.153579374385654,131201.486659059,9.708078,0.606754875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,534.314241065082,29.3649964643935,154.620223553485,angle,32109.9997284819,199115.277475184,0.161263365300956,129698.910107238,8.545896,0.5341185,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,514.391795608188,35.5837887722707,282.941708984877,angle,33459.9997205826,199115.277475184,0.168043357319746,128392.73787821,7.476111,0.4672569375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.81168558399524,0,angle,35159.9997107841,199115.277475184,0.176581125047856,126709.934591557,7.444969,0.4653105625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,425.756294670397,28.6141222960965,195.960521078352,angle,38349.9996921076,199115.277475184,0.192601995077386,123519.695323787,6.471673,0.4044795625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.3187328251938,0,angle,42089.9996656381,199115.277475184,0.211385084054556,119797.982007792,6.910614,0.431913375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,releasing,double,2412.99001072616,31.9678908975863,1387.12992419981,angle,46059.9996444211,199115.277475184,0.231323282816215,116019.630157946,5.980196,0.37376225,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,releasing,double,2713.66596283985,23.4184071812368,1050.81186739899,angle,54219.9995958095,199115.277475184,0.272304567903219,108087.090045304,8,0.5,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,5.23273273052475,0,angle,64989.9995319727,199115.277475184,0.326393837560116,97463.2620553521,NaN,NaN,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,631.845968775757,18.8481047996471,182.021977465341,angle,73939.9994930501,199115.277475184,0.371342673604065,88726.9795043731,11.3,0.70625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.3364438563332,0,angle,78619.9994622951,199115.277475184,0.394846645918938,84108.1061006713,12.8,0.8,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.51628568984618,0,angle,84119.9994238982,199115.277475184,0.422468835593905,78719.9510371989,10.8,0.675,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,33.647963056397,0,angle,86979.999405368,199115.277475184,0.4368323742321,75857.3796216254,9.205925,0.5753703125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.05627887499466,0,angle,88029.9994005295,199115.277475184,0.442105701364381,74765.8764798292,6.2,0.3875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,29.1828407774718,0,angle,86999.999405368,199115.277475184,0.436932818558892,75891.2282081057,13.434608,0.839663,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,12.0813457705779,0,angle,89929.9993814512,199115.277475184,0.451647912313807,73229.3885962987,8.5,0.53125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.68159249048358,0,angle,92539.9993737184,199115.277475184,0.464755896921329,70602.4562436932,10.9,0.68125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,releasing,double,622.357911604156,9.70940126942994,47.6451022806407,angle,95429.9993352183,199115.277475184,0.479270101949419,67745.0456979328,13.107509,0.8192193125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.64789745829555,0,angle,100879.999282853,199115.277475184,0.506641180737253,62422.816714433,12.254583,0.7659114375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.5103621650745,0,angle,111409.99914066,199115.277475184,0.559525118079124,51939.1298451093,2.5,0.15625,41N,450
